Total Rows: 211
Total Columns: 8

Wo / Where								
		entlang	along the	+ Gen.				
		innerhalb	within	+ Gen.				
		innerhalb	inside	+ Gen.				
		unterhalb	below	+ Gen.				
		oberhalb	above	+ Gen.				
		au·erhalb	outside	+ Gen.				
		nahe	close to	+ Gen. / + Dat.				
		in der NÑhe	in close distance to	+ Gen.		L/D		
in der NÑhe vom		in der NÑhe von	in close distance to	+ Dat.	m	L/D		
am		an	at the	+ Dat.	m			
		auf	on the	+ Dat.				
beim		bei	at the	+ Dat.	m			
hinterm		hinter	behind the	+ Dat.	m			
im		in	inside	+ Dat.	m			
im		in	in	+ Dat.	m			
		inmitten	within the	+ Dat.				
		mitten unter	right inside	+ Akk.				
		unter	among the	+ Dat.				
		neben	next to	+ Dat.				
		neben	next to	+ Dat.				
		neben	next to	+ Dat.				
		neben	next to	+ Akk.				
Åberm		Åber	over the	+ Dat.	m			
unterm		unter	under the	+ Dat.		L/D		
unterm		unter	beneth	+ Dat.	m			
von/m bis zum / zur...		von... bis zu .	from . until the .	+ Dat. + Dat.	m/r			
vom ... bis .		von... bis .	from . until .	+ Dat. + Dat.	m			
vorm		vor	in front of the	+ Dat.	m			
		zwischen	between the	+ Dat.		L/D		
		um	around the	+ Akk.				
		mitten unter	right under	+ Dat.		L/D		
		mitten unter	right within	+ Dat.		L/D		
		neben	besides	+ Dat.		L/D		
		Åber	over the	+ Akk.		L/D		
		um... herum	around the	+ Akk.		L/D		
Woher / Where From								
		von au·erhalb	from outside	+ Gen.				
		von innerhalb	from inside	+ Gen.				
		aus der NÑhe	in close distance to	+ Gen.				
in die NÑhe vom		aus der NÑhe von	in close distance to	+ Dat.	m			
		aus	out of	+ Dat.				
		aus . heraus	out of	+ Dat.				
hinterm . hervor		hinter . hervor	from behind	+ Dat.	m	L/D		
		zwischen . hervor	from between the	+ Dat.				
		aus der NÑhe	from next to	+ Gen.				
unterm . hervor		unter . hervor	from beneth	+ Dat.	m			
vom		von	from	+ Dat.	m			
Wohin / Where To								
		in die NÑhe	in close distance to	+ Gen.		L/D		
		entgegen	against	+ Dat.				
		entgegen	towards	+ Dat.				
		vorbei an	past the	+ Dat.				
zum / zur...		zu	to	+ Dat.	m/r			
		aus . heraus	out of	+ Dat.				
		an . vorÅber	past the	+ Dat.				
		an . vorbei	past the	+ Dat.				
		aus . heraus	out of	+ Dat.				
		unter . hervor	from under	+ Dat.				
		vorbei	past the	+ Dat.		0		
		mitten unter	right under	+ Akk.		L/D		
		durch	through	+ Akk.				
		an	at the	+ Akk.		L/D		
		auf	on top of	+ Akk.		L/D		
		hinter	behind the	+ Akk.		L/D		
		um	around	+ Akk.		L/D		
		mitten unter	right within	+ Akk.		L/D		
		mitten in	right into	+ Akk.		L/D		
		neben	besides	+ Akk.		L/D		
		Åber	over the	+ Akk.		L/D		
		um . herum	around the	+ Akk.		L/D		
		unter	under the	+ Akk.		L/D		
		vor	in front of the	+ Akk.		L/D		
		zwischen	between the	+ Akk.		L/D		
		in	into	+ Akk.		L/D		
		in . hinein	into	+ Akk.				
		wÑhrend	during	+ Gen. / + Dat.				
im		in	during	+ Dat.	m	L/D		
		nach	after	+ Dat.		L/D		
am		an	on the	+ Dat.	m	L/D		
		seit	since	+ Dat.				
vom		von	from	+ Dat.	m			
vom . bis...		von . bis...	from until	+ Dat.	m			
vorm		vor	before	+ Dat.	m	L/D		
		um	around	+ Akk.		L/D		
		um	at	+ Akk.		L/D		
im		in	in	+ Dat.	m	L/D		
Miscellaneous								
		einige	some of	+ Gen.				
		einige der	some of	+ Dat.				
		mehr von	more of	+ Dat.				
		wenige von	few of	+ Dat.				
		einige von	some of	+ Akk.				
		dank	thanks to	+ Gen. / + Dat.				
		infolge	as result of	+ Gen.				
		infolge	in the following	+ Gen.				
